,id,lat,lon,Name
177,53981,35.78,113.27,陵川县
178,53973,35.77,112.95,高平市
179,53574,39.52,112.27,平鲁区
180,53576,39.5,112.82,山阴县
181,53584,39.57,113.17,应县
182,53478,40.0,112.45,右玉县
183,53580,39.82,113.1,怀仁县
184,53787,37.07,112.98,榆社县
185,53786,37.08,113.37,左权县
186,53788,37.33,113.57,和顺县
187,53783,37.6,113.7,昔阳县
188,53780,37.9,113.17,寿阳县
189,53775,37.43,112.53,太谷县
190,53770,37.35,112.35,祁县
191,53778,37.17,112.22,平遥县
192,53862,36.83,111.77,灵石县
193,53863,37.03,111.92,介休市
194,53958,35.13,110.78,临猗县
195,53956,35.4,110.83,万荣县
196,53967,35.33,111.2,闻喜县
197,53954,35.62,110.97,稷山县
198,53964,35.62,111.22,新绛县
199,53965,35.52,111.57,绛县
200,53968,35.28,111.67,垣曲县
201,57060,35.17,111.23,夏县
202,57061,34.83,111.2,平陆县
203,57053,34.7,110.72,芮城县
204,57052,34.88,110.45,永济市
205,53957,35.62,110.72,河津市
206,53676,38.5,112.98,定襄县
207,53579,39.02,112.9,代县
208,53585,39.17,113.27,繁峙县
209,53577,39.0,112.3,宁武县
210,53666,38.35,111.93,静乐县
211,53575,39.1,112.2,神池县
212,53663,38.92,111.82,五寨县
213,53662,38.72,111.58,岢岚县
214,53564,39.38,111.15,河曲县
215,53660,39.02,111.08,保德县
216,53565,39.43,111.5,偏关县
217,53673,38.73,112.72,原平市
218,53961,35.65,111.48,曲沃县
219,53962,35.73,111.7,翼城县
220,53861,35.88,111.42,襄汾县
221,53866,36.23,111.67,洪洞县
222,53874,36.25,111.9,古县
223,53877,36.17,112.25,安泽县
224,53966,35.98,111.83,浮山县
225,53859,36.1,110.67,吉县
226,53953,35.97,110.85,乡宁县
227,53856,36.47,110.75,大宁县
228,53853,36.7,110.95,隰县
229,53852,36.77,110.63,永和县
230,53864,36.4,111.1,蒲县
231,53865,36.65,111.55,汾西县
232,53963,35.65,111.37,侯马市
233,53869,36.58,111.7,霍州市
234,53771,37.45,112.05,文水县
235,53777,37.53,112.15,交城县
236,53664,38.47,111.13,兴县
237,53659,37.97,111.0,临县
238,53753,37.43,110.88,柳林县
239,53759,36.98,110.83,石楼县
240,53665,38.28,111.65,岚县
241,53760,37.88,111.23,方山县
242,53767,37.33,111.17,中阳县
243,53860,36.98,111.17,交口县
244,53768,37.15,111.75,孝义市
245,53769,37.25,111.78,汾阳市
246,53464,40.68,111.15,土默特左旗
247,53467,40.27,111.18,托克托县
248,53469,40.4,111.82,和林格尔县
249,53562,39.92,111.67,清水河县
250,53368,41.08,111.47,武川县
251,54122,43.88,120.05,阿鲁科尔沁旗
252,54027,43.98,119.4,巴林左旗
253,54113,43.53,118.65,巴林右旗
254,54115,43.6,118.07,林西县
255,54117,43.25,117.53,克什克腾旗
256,54213,42.93,119.02,翁牛特旗
257,54313,41.93,118.7,喀喇沁旗
258,54320,41.6,119.35,宁城县
259,54225,42.28,119.92,敖汉旗
260,54134,43.6,121.28,开鲁县
261,54234,42.73,121.75,库伦旗
262,54223,42.85,120.65,奈曼旗
263,54026,44.57,120.9,扎鲁特旗
264,50924,45.53,119.67,霍林郭勒市
265,53457,40.4,110.03,达拉特旗
266,53553,39.87,111.22,准格尔旗
267,53730,38.18,107.48,鄂托克前旗
268,53529,39.1,107.98,鄂托克旗
269,53533,39.85,108.73,杭锦旗
270,53644,38.6,108.83,乌审旗
271,53545,39.57,109.73,伊金霍洛旗
272,50527,49.22,119.75,海拉尔区
273,50647,48.13,123.48,阿荣旗
274,50525,49.15,119.75,鄂温克族自治旗
275,50524,49.32,119.43,陈巴尔虎旗
276,50618,48.22,118.27,新巴尔虎左旗
277,50603,48.67,116.82,新巴尔虎右旗
278,50514,49.57,117.43,满洲里市
279,50526,49.28,120.7,牙克石市
280,50639,48.0,122.73,扎兰屯市
281,50425,50.25,120.18,额尔古纳市
282,50431,50.78,121.52,根河市
283,53513,40.75,107.42,临河区
284,53337,41.1,108.27,五原县
285,53419,40.33,107.0,磴口县
286,53433,40.73,108.65,乌拉特前旗
287,53336,41.57,108.52,乌拉特中旗
288,53324,41.07,107.05,乌拉特后旗
289,53420,40.85,107.12,杭锦后旗
290,53480,41.03,113.07,集宁区
291,53472,40.87,112.57,卓资县
292,53391,41.9,114.0,化德县
293,53385,41.57,113.55,商都县
294,53483,40.88,113.87,兴和县
295,53475,40.52,112.52,凉城县
296,53362,41.53,111.68,四子王旗
297,53484,40.45,113.15,丰镇市
298,50838,46.08,122.05,乌兰浩特市
299,50727,47.17,119.93,阿尔山市
300,50937,45.05,121.47,科尔沁右翼中旗
301,50833,46.72,122.9,扎赉特旗
302,50934,45.38,121.58,突泉县
303,53068,43.65,111.97,二连浩特市
304,54102,43.95,116.12,锡林浩特市
305,53192,44.02,114.95,阿巴嘎旗
306,53195,43.87,113.63,苏尼特左旗
307,53272,42.75,112.63,苏尼特右旗
308,50915,45.52,116.97,东乌珠穆沁旗
309,54012,44.58,117.6,西乌珠穆沁旗
310,54305,41.88,115.27,太仆寺旗
311,53289,42.23,113.83,镶黄旗
312,54204,42.3,115.0,正镶白旗
313,54205,42.23,116.0,正蓝旗
314,54208,42.18,116.47,多伦县
315,53602,38.83,105.67,阿拉善左旗
316,52267,41.95,101.07,额济纳旗
317,54340,41.67,123.32,苏家屯区
318,54248,42.03,123.53,新城子区
319,54332,41.52,122.72,辽中县
320,54244,42.75,123.33,康平县
321,54245,42.5,123.4,法库县
322,54333,41.98,122.83,新民市
323,54660,38.82,121.23,旅顺口区
324,54568,39.08,121.7,金州区
325,54579,39.27,122.58,长海县
326,54563,39.63,122.02,瓦房店市
327,54569,39.4,121.97,普兰店市
328,54584,39.72,122.95,庄河市
329,54336,41.38,122.43,台安县
330,54486,40.28,123.28,岫岩满族自治县
331,54472,40.88,122.72,海城市
332,54353,41.73,125.05,新宾满族自治县
333,54259,42.1,124.92,清原满族自治县
334,54365,41.28,125.35,桓仁满族自治县
335,54493,40.72,124.78,宽甸满族自治县
336,54590,39.88,124.17,东港市
337,54494,40.47,124.07,凤城市
338,54335,41.68,122.08,黑山县
339,54334,41.52,121.23,义县
340,54330,41.17,121.37,凌海市
341,54331,41.58,121.77,北宁市
342,54474,40.42,122.35,盖州市
343,54475,40.62,122.48,大石桥市
344,54236,42.42,122.53,彰武县
345,54348,41.42,123.32,灯塔市
346,54470,41.02,122.07,大洼县
347,54338,41.28,121.95,盘山县
348,54252,42.73,124.75,西丰县
