#,,,,,,,,,
# 注意事项,,,,,,,,,
#    1. var_name为stda要素名,,,,,,,,,
#    2. var_units为当前数据的在cmadass中的单位，单位名参考metpy.units（即pint库），未知或者不确定不填写空着即可，可带倍数,,,,,,,,,
#    3. cmadaas_var_name为cmadass上数据接口需要的要素名,,,,,,,,,
#    4. cmadaas_discription为描述信息，目前不进行任何使用，可看作为配置行的说明,,,,,,,,,
#    5. cmadaas_level_type为cmadass上数据接口需要的层次类型,,,,,,,,,
#    6. cmadaas_level高空请填写any代表任意层，地面或者特殊单层请填写具体某一层，未知或者不确定请填写any,,,,,,,,,
#    7. cmadaas_data_code为cmadass上数据接口需要的data_code，因为存在多个来源，此处填写多个以/分割,,,,,,,,,
#    8. 此表还与cmadass_datacode_cfg.csv相关联，关联列为data_name,cmadaas_data_code,,,,,,,,
#    9. 以data_name,var_name,level_type列作为查询列，保证能确定唯一一行,,,,,,,
# ,,,,,,,,,
data_name,var_name,level_type,var_units,cmadaas_var_name,cmadaas_discription,cmadaas_level_type,cmadaas_level,cmadaas_data_code,cmadaas_prod_type
cma_gfs,hgt,high,gpm,GPH,位势高度,100,any,NAFP_FOR_FTM_GRAPES_GFS_25KM_GLB/NAFP_ANA_FTM_GRAPES_GFS_25KM_GLB,model
cma_gfs,u,high,m/s,WIU,东西风风速,100,any,NAFP_FOR_FTM_GRAPES_GFS_25KM_GLB/NAFP_ANA_FTM_GRAPES_GFS_25KM_GLB,model
cma_gfs,v,high,m/s,WIV,南北风风速,100,any,NAFP_FOR_FTM_GRAPES_GFS_25KM_GLB/NAFP_ANA_FTM_GRAPES_GFS_25KM_GLB,model
cma_gfs,w,high,m/s,VVM,垂直速度,100,any,NAFP_FOR_FTM_GRAPES_GFS_25KM_GLB/NAFP_ANA_FTM_GRAPES_GFS_25KM_GLB,model
cma_gfs,tmp,high,kelvin,TEM,气温,100,any,NAFP_FOR_FTM_GRAPES_GFS_25KM_GLB/NAFP_ANA_FTM_GRAPES_GFS_25KM_GLB,model
cma_gfs,rh,high,percent,RHU,相对湿度,100,any,NAFP_FOR_FTM_GRAPES_GFS_25KM_GLB/NAFP_ANA_FTM_GRAPES_GFS_25KM_GLB,model
cma_gfs,spfh,high,kg/kg,SHU,比湿,100,any,NAFP_FOR_FTM_GRAPES_GFS_25KM_GLB/NAFP_ANA_FTM_GRAPES_GFS_25KM_GLB,model
cma_gfs,td,high,kelvin,DPT,露点温度,100,any,NAFP_FOR_FTM_GRAPES_GFS_25KM_GLB/NAFP_ANA_FTM_GRAPES_GFS_25KM_GLB,model
cma_gfs,wvfl,high,g/(cm*hPa*s),MOFU,水汽通量,100,any,NAFP_FOR_FTM_GRAPES_GFS_25KM_GLB/NAFP_ANA_FTM_GRAPES_GFS_25KM_GLB,model
cma_gfs,theta,high,kelvin,PPT,假相当位温,100,any,NAFP_FOR_FTM_GRAPES_GFS_25KM_GLB/NAFP_ANA_FTM_GRAPES_GFS_25KM_GLB,model
cma_gfs,u10m,surface,m/s,WIU,东西风风速,103,10,NAFP_FOR_FTM_GRAPES_GFS_25KM_GLB/NAFP_ANA_FTM_GRAPES_GFS_25KM_GLB,model
cma_gfs,v10m,surface,m/s,WIV,南北风风速,103,10,NAFP_FOR_FTM_GRAPES_GFS_25KM_GLB/NAFP_ANA_FTM_GRAPES_GFS_25KM_GLB,model
cma_gfs,tmx3_2m,surface,kelvin,MXT,过去3小时最高温度,103,2,NAFP_FOR_FTM_GRAPES_GFS_25KM_GLB/NAFP_ANA_FTM_GRAPES_GFS_25KM_GLB,model
cma_gfs,t2m,surface,kelvin,TEM,气温,103,2,NAFP_FOR_FTM_GRAPES_GFS_25KM_GLB/NAFP_ANA_FTM_GRAPES_GFS_25KM_GLB,model
cma_gfs,psfc,surface,Pa,PRS,气压,1,0,NAFP_FOR_FTM_GRAPES_GFS_25KM_GLB/NAFP_ANA_FTM_GRAPES_GFS_25KM_GLB,model
cma_gfs,rain,surface,mm,TPE,总降水量,1,0,NAFP_FOR_FTM_GRAPES_GFS_25KM_GLB/NAFP_ANA_FTM_GRAPES_GFS_25KM_GLB,model
cma_gfs,td2m,surface,kelvin,DPT,露点温度,103,2,NAFP_FOR_FTM_GRAPES_GFS_25KM_GLB/NAFP_ANA_FTM_GRAPES_GFS_25KM_GLB,model
cma_gfs,rh2m,surface,percent,RHU,相对湿度,103,2,NAFP_FOR_FTM_GRAPES_GFS_25KM_GLB/NAFP_ANA_FTM_GRAPES_GFS_25KM_GLB,model
cma_gfs,prmsl,surface,Pa,SSP,海平面气压,101,0,NAFP_FOR_FTM_GRAPES_GFS_25KM_GLB/NAFP_ANA_FTM_GRAPES_GFS_25KM_GLB,model
cma_gfs,tcwv,surface,mm,TIWV,总柱状比湿（整层水汽含量）,10,0,NAFP_FOR_FTM_GRAPES_GFS_25KM_GLB/NAFP_ANA_FTM_GRAPES_GFS_25KM_GLB,model
cma_gfs,gust10m_3h,surface,m/s,WSGU_103,过去3小时10米阵风,103,10,NAFP_FOR_FTM_GRAPES_GFS_25KM_GLB/NAFP_ANA_FTM_GRAPES_GFS_25KM_GLB,model
cma_gfs,cape,surface,J*kg**-1,CAPE,对流有效位能,1,0,NAFP_FOR_FTM_GRAPES_GFS_25KM_GLB/NAFP_ANA_FTM_GRAPES_GFS_25KM_GLB,model
cma_gfs,irbt,surface,K,ICTBB,辐射亮温（红外通道）,1,0,NAFP_FOR_FTM_GRAPES_GFS_25KM_GLB/NAFP_ANA_FTM_GRAPES_GFS_25KM_GLB,model
cma_gfs,vpbt,surface,K,WCTBB,辐射亮温（水汽通道）,1,0,NAFP_FOR_FTM_GRAPES_GFS_25KM_GLB/NAFP_ANA_FTM_GRAPES_GFS_25KM_GLB,model
#,,,,,,,,,
cma_meso_3km,hgt,high,gpm,GPH,位势高度,100,any,NAFP_GRAPES_MESO_FOR_3KM/NAFP_GRAPES_MESO_ANA_3KM,model
cma_meso_3km,u,high,m/s,WIU,东西风风速,100,any,NAFP_GRAPES_MESO_FOR_3KM/NAFP_GRAPES_MESO_ANA_3KM,model
cma_meso_3km,v,high,m/s,WIV,南北风风速,100,any,NAFP_GRAPES_MESO_FOR_3KM/NAFP_GRAPES_MESO_ANA_3KM,model
